Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
MpoxInternational,host_vaccination_status,host_vaccination_status,100.0%,Exact
MpoxInternational,collection_device,collection_device,100.0%,Exact
MpoxInternational,antiviral_therapy,antiviral_therapy,100.0%,Exact
MpoxInternational,host_age_bin,host_age_bin,100.0%,Exact
MpoxInternational,complications,complications,100.0%,Exact
MpoxInternational,r1_fastq_filepath,r1_fastq_filepath,100.0%,Exact
MpoxInternational,sequence_submitter_contact_email,sequence_submitter_contact_email,100.0%,Exact
MpoxInternational,raw_sequence_data_processing_method,raw_sequence_data_processing_method,100.0%,Exact
MpoxInternational,experimental_control_details,experimental_control_details,100.0%,Exact
MpoxInternational,sequenced_by_contact_email,sequenced_by_contact_email,100.0%,Exact
MpoxInternational,diagnostic_pcr_ct_value_2,diagnostic_pcr_ct_value_2,100.0%,Exact
MpoxInternational,vaccination_dose_1_vaccination_date,vaccination_dose_1_vaccination_date,100.0%,Exact
MpoxInternational,specimen_processing_details,specimen_processing_details,100.0%,Exact
MpoxInternational,fast5_filepath,fast5_filepath,100.0%,Exact
MpoxInternational,purpose_of_sequencing,purpose_of_sequencing,100.0%,Exact
MpoxInternational,number_of_base_pairs_sequenced,number_of_base_pairs_sequenced,100.0%,Exact
MpoxInternational,host_common_name,host_common_name,100.0%,Exact
MpoxInternational,purpose_of_sampling,purpose_of_sampling,100.0%,Exact
MpoxInternational,caseid,case_id,92.3%,Fuzzy
MpoxInternational,prior_mpox_infection_date,prior_mpox_infection_date,100.0%,Exact
MpoxInternational,exposure_contact_level,exposure_contact_level,100.0%,Exact
MpoxInternational,sample_collector_contact_email,sample_collector_contact_email,100.0%,Exact
MpoxInternational,library_id,library_id,100.0%,Exact
MpoxInternational,sequenced_by_contact_address,sequenced_by_contact_address,100.0%,Exact
MpoxInternational,sequenced_by,sequenced_by,100.0%,Exact
MpoxInternational,reference_genome_accession,reference_genome_accession,100.0%,Exact
MpoxInternational,most_recent_travel_departure_date,most_recent_travel_departure_date,100.0%,Exact
MpoxInternational,exposure_details,exposure_details,100.0%,Exact
MpoxInternational,host_age,host_age,100.0%,Exact
MpoxInternational,r2_fastq_filename,r2_fastq_filename,100.0%,Exact
MpoxInternational,sequencing_date,sequencing_date,100.0%,Exact
MpoxInternational,fast5_filename,fast5_filename,100.0%,Exact
MpoxInternational,collection_method,collection_method,100.0%,Exact
MpoxInternational,isolate_id,isolate_id,100.0%,Exact
MpoxInternational,r1_fastq_filename,r1_fastq_filename,100.0%,Exact
MpoxInternational,diagnostic_pcr_ct_value_4,diagnostic_pcr_ct_value_3,96.0%,Fuzzy
MpoxInternational,purpose_of_sequencing_details,purpose_of_sequencing_details,100.0%,Exact
MpoxInternational,bioproject_accession,bioproject_accession,100.0%,Exact
MpoxInternational,sequencing_protocol,sequencing_protocol,100.0%,Exact
MpoxInternational,host_gender,host_gender,100.0%,Exact
MpoxInternational,host_health_status_details,host_health_status_details,100.0%,Exact
MpoxInternational,dataharmonizer_provenance,dataharmonizer_provenance,100.0%,Exact
MpoxInternational,preexisting_conditions_and_risk_factors,preexisting_conditions_and_risk_factors,100.0%,Exact
MpoxInternational,sample_collected_by,sample_collected_by,100.0%,Exact
MpoxInternational,sequence_submitted_by,sequence_submitted_by,100.0%,Exact
MpoxInternational,consensus_genome_length,consensus_genome_length,100.0%,Exact
MpoxInternational,prior_antiviral_treatment_during_prior_mpox_infection,prior_antiviral_treatment_during_prior_mpox_infection,100.0%,Exact
MpoxInternational,depth_of_coverage_value,depth_of_coverage_value,100.0%,Exact
MpoxInternational,most_recent_travel_return_date,most_recent_travel_return_date,100.0%,Exact
MpoxInternational,consensus_sequence_filename,NOT FOUND,0%,Gap
MpoxInternational,consensus_sequence_filepath,NOT FOUND,0%,Gap
MpoxInternational,consensus_sequence_name,NOT FOUND,0%,Gap
MpoxInternational,gene_name_1,NOT FOUND,0%,Gap
MpoxInternational,gene_name_2,NOT FOUND,0%,Gap
MpoxInternational,gene_name_3,NOT FOUND,0%,Gap
MpoxInternational,gene_name_4,NOT FOUND,0%,Gap
MpoxInternational,gene_name_5,NOT FOUND,0%,Gap
MpoxInternational,host_residence_geo_loc_name_state_province_territory,NOT FOUND,0%,Gap
MpoxInternational,nml_submitted_specimen_type,NOT FOUND,0%,Gap
MpoxInternational,related_specimen_primary_id,NOT FOUND,0%,Gap
MpoxInternational,related_specimen_relationship_type,NOT FOUND,0%,Gap
MpoxInternational,sample_collection_date_precision,NOT FOUND,0%,Gap
CanCOGeNCovid19,specimen_processing,specimen_processing,100.0%,Exact
CanCOGeNCovid19,nml_submitted_specimen_type,nml_submitted_specimen_type,100.0%,Exact
CanCOGeNCovid19,sequencing_kit_number,sequencing_kit_number,100.0%,Exact
CanCOGeNCovid19,anatomical_material,anatomical_material,100.0%,Exact
CanCOGeNCovid19,consensus_sequence_name,consensus_sequence_name,100.0%,Exact
CanCOGeNCovid19,bioinformatics_protocol,bioinformatics_protocol,100.0%,Exact
CanCOGeNCovid19,specimen_collector_sample_id,specimen_collector_sample_id,100.0%,Exact
CanCOGeNCovid19,organism,organism,100.0%,Exact
CanCOGeNCovid19,host_residence_geo_loc_name_country,host_residence_geo_loc_name_country,100.0%,Exact
CanCOGeNCovid19,geo_loc_name_country,geo_loc_name_country,100.0%,Exact
CanCOGeNCovid19,sequencing_instrument,sequencing_instrument,100.0%,Exact
CanCOGeNCovid19,library_preparation_kit,library_preparation_kit,100.0%,Exact
CanCOGeNCovid19,diagnostic_pcr_ct_value_1,diagnostic_pcr_ct_value_1,100.0%,Exact
CanCOGeNCovid19,host_scientific_name,host_scientific_name,100.0%,Exact
CanCOGeNCovid19,sample_received_date,sample_received_date,100.0%,Exact
CanCOGeNCovid19,consensus_sequence_software_version,consensus_sequence_software_version,100.0%,Exact
CanCOGeNCovid19,consensus_sequence_software_name,consensus_sequence_software_name,100.0%,Exact
CanCOGeNCovid19,geo_loc_name_state_province_territory,geo_loc_name_state_province_territory,100.0%,Exact
CanCOGeNCovid19,dehosting_method,dehosting_method,100.0%,Exact
CanCOGeNCovid19,sample_collection_date_precision,sample_collection_date_precision,100.0%,Exact
CanCOGeNCovid19,host_role,host_role,100.0%,Exact
CanCOGeNCovid19,sample_collector_contact_address,sample_collector_contact_address,100.0%,Exact
